image,time,area,aspect,mean,std,skew,kurt,pred
temp.png,2026-01-08 11:53:53,318.5,2.3999998400000107,44.54259259259259,18.318884223783652,0.21258355380330685,0.32353333819134056,0
temp.png,2026-01-08 11:53:53,397989.0,1.2769230749585798,45.48655050973123,27.01973971753149,0.7662697026821391,0.4079936967903408,1
temp.png,2026-01-08 11:58:37,318.5,2.3999998400000107,44.54259259259259,18.318884223783652,0.21258355380330685,0.32353333819134056,0
temp.png,2026-01-08 11:58:37,397989.0,1.2769230749585798,45.48655050973123,27.01973971753149,0.7662697026821391,0.4079936967903408,1
temp.png,2026-03-06 09:59:27,41913.0,3.25657892594356,52.85588782562467,29.21408002965198,0.016162523349845595,-1.1826327896267752,1
temp.png,2026-03-06 09:59:27,1406.5,1.245282995372019,54.74699828473413,13.676289965760292,-0.10863160310543378,0.0796582274956994,0
temp.png,2026-03-06 09:59:27,243.5,2.769230556213034,46.2008547008547,10.441035051406548,0.0379166609344396,0.07238941453002479,0
temp.png,2026-03-06 10:00:08,15896.5,0.7303921532823914,53.53671535728385,33.90297867362849,0.08394418631812227,-0.9315867741696775,1
temp.png,2026-03-06 10:00:08,22769.0,0.7937219695348791,88.47667908084416,40.618590402966746,-0.3377224847344945,-0.597597733420181,1
temp.png,2026-03-06 10:00:08,195.5,0.639999974400001,78.915,33.153171416924806,-0.018503715400237476,-0.6464610034723548,0
temp.png,2026-03-06 10:00:08,701.5,1.0285713991836745,49.819047619047616,31.306837110871186,0.16542853730899792,-0.7270395289140281,1
temp.png,2026-03-06 10:00:08,102.5,0.7999999466666703,46.43333333333333,34.75247393272088,0.2874702079810013,-1.053366033567529,1
temp.png,2026-03-06 10:00:08,182.5,1.3888888117283993,91.25333333333333,85.46449711234874,0.8154537042704926,-0.8894135105943177,0
temp.png,2026-03-06 10:00:08,16303.5,1.368421043628809,83.10940662955466,39.504611465006846,-0.3824367852073016,-0.595489919238311,1
temp.png,2026-03-06 10:00:08,39413.5,0.6804733707678303,79.69549781322357,43.69132109210338,-0.18827422202710462,-0.9581038585884416,1
temp.png,2026-03-11 09:55:56,41913.0,3.25657892594356,52.85588782562467,29.21408002965198,0.016162523349845595,-1.1826327896267752,1
temp.png,2026-03-11 09:55:56,1406.5,1.245282995372019,54.74699828473413,13.676289965760292,-0.10863160310543378,0.0796582274956994,0
temp.png,2026-03-11 09:55:56,243.5,2.769230556213034,46.2008547008547,10.441035051406548,0.0379166609344396,0.07238941453002479,0
temp.png,2026-03-11 09:56:35,133621.0,1.2879256926070413,9.887659264110502,31.064121540182455,6.900241005928957,48.93695332569817,1
temp.png,2026-03-11 10:23:18,15896.5,0.7303921532823914,53.53671535728385,33.90297867362849,0.08394418631812227,-0.9315867741696775,1
temp.png,2026-03-11 10:23:18,22769.0,0.7937219695348791,88.47667908084416,40.618590402966746,-0.3377224847344945,-0.597597733420181,1
temp.png,2026-03-11 10:23:18,195.5,0.639999974400001,78.915,33.153171416924806,-0.018503715400237476,-0.6464610034723548,0
temp.png,2026-03-11 10:23:18,701.5,1.0285713991836745,49.819047619047616,31.306837110871186,0.16542853730899792,-0.7270395289140281,1
temp.png,2026-03-11 10:23:18,102.5,0.7999999466666703,46.43333333333333,34.75247393272088,0.2874702079810013,-1.053366033567529,1
temp.png,2026-03-11 10:23:18,182.5,1.3888888117283993,91.25333333333333,85.46449711234874,0.8154537042704926,-0.8894135105943177,0
temp.png,2026-03-11 10:23:18,16303.5,1.368421043628809,83.10940662955466,39.504611465006846,-0.3824367852073016,-0.595489919238311,1
temp.png,2026-03-11 10:23:18,39413.5,0.6804733707678303,79.69549781322357,43.69132109210338,-0.18827422202710462,-0.9581038585884416,1
temp.png,2026-03-11 10:28:07,41913.0,3.25657892594356,52.85588782562467,29.21408002965198,0.016162523349845595,-1.1826327896267752,1
temp.png,2026-03-11 10:28:07,1406.5,1.245282995372019,54.74699828473413,13.676289965760292,-0.10863160310543378,0.0796582274956994,0
